Titles,Type,Episodes,Episode duration,Year,Demographic,Genres,Theme,Studio,Source,Members,Score
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,TV,24 eps,24 min ,2014,Shounen,"Action,Adventure,Drama,Supernatural",,David Production,Manga,1.1M,8.1
Kyoukai no Kanata,TV,12 eps,24 min ,2013,,"Action,Fantasy",School,Kyoto Animation,Light novel,1.1M,7.73
Dororo,TV,24 eps,24 min ,2019,Shounen,"Action,Adventure,Supernatural",Historical,MAPPA,Manga,1.1M,8.24
Tokyo Revengers,TV,24 eps,23 min ,2021,Shounen,"Action,Drama,Supernatural",Delinquents,LIDENFILMS,Manga,1.1M,8.04
Tokyo Ghoul:re,TV,12 eps,24 min ,2018,Seinen,"Action,Fantasy,Horror",Gore,Pierrot,Manga,1.1M,6.38
Chainsaw Man,TV,12 eps,24 min ,2022,Shounen,"Action,Fantasy",Gore,MAPPA,Manga,1.1M,8.68
Log Horizon,TV,25 eps,25 min ,2013,,"Action,Adventure,Fantasy",Adult Cast,Satelight,Light novel,1.1M,7.93
Nanatsu no Taizai: Imashime no Fukkatsu,TV,24 eps,24 min ,2018,Shounen,"Action,Adventure,Fantasy",,A-1 Pictures,Manga,1.1M,7.6
Fate/Zero 2nd Season,TV,12 eps,24 min ,2012,,"Action,Fantasy,Supernatural",,ufotable,Light novel,1.1M,8.56
Devilman: Crybaby,ONA,10 eps,25 min ,2018,Shounen,"Action,Avant Garde,Horror,Supernatural",Gore,Science SARU,Manga,1.0M,7.76
Shingeki no Kyojin: The Final Season Part 2,TV,12 eps,23 min ,2022,Shounen,"Action,Drama",Gore,MAPPA,Manga,1.0M,8.78
Boku no Hero Academia 5th Season,TV,25 eps,23 min ,2021,Shounen,Action,School,Bones,Manga,1.0M,7.4
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV,39 eps,23 min ,2016,Shounen,"Action,Adventure,Supernatural",,David Production,Manga,1.0M,8.5
Goblin Slayer,TV,12 eps,23 min ,2018,,"Action,Adventure,Fantasy",Gore,White Fox,Light novel,1.0M,7.42
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV,24 eps,23 min ,2015,Shounen,"Action,Adventure,Drama,Supernatural",,David Production,Manga,1.0M,8.44
Fate/stay night: Unlimited Blade Works,TV,12 eps,28 min ,2014,,"Action,Fantasy,Supernatural",,ufotable,Visual novel,997K,8.19
Mahouka Koukou no Rettousei,TV,26 eps,23 min ,2014,,"Action,Romance,Sci-Fi,Supernatural",School,Madhouse,Light novel,997K,7.42
Gintama,TV,201 eps,24 min ,2006,Shounen,"Action,Comedy,Sci-Fi",Gag Humor,Sunrise,Manga,996K,8.94
Magi: The Labyrinth of Magic,TV,25 eps,24 min ,2012,Shounen,"Action,Adventure,Fantasy",,A-1 Pictures,Manga,984K,8.02
Sword Art Online: Alicization,TV,24 eps,24 min ,2018,,"Action,Adventure,Fantasy",Video Game,A-1 Pictures,Light novel,960K,7.56
Overlord II,TV,13 eps,23 min ,2018,,"Action,Adventure,Fantasy",Isekai,Madhouse,Light novel,935K,7.76
Fairy Tail (2014),TV,102 eps,24 min ,2014,Shounen,"Action,Adventure,Fantasy",,A-1 Pictures,Manga,930K,7.66
Black Lagoon,TV,12 eps,24 min ,2006,Seinen,Action,Adult Cast,Madhouse,Manga,930K,8.03
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV,39 eps,23 min ,2018,Shounen,"Action,Adventure,Supernatural",Organized Crime,David Production,Manga,917K,8.58
Fate/stay night,TV,24 eps,24 min ,2006,,"Action,Fantasy,Romance,Supernatural",,Studio Deen,Visual novel,899K,7.28
Darker than Black: Kuro no Keiyakusha,TV,25 eps,24 min ,2007,,"Action,Mystery,Sci-Fi",Super Power,Bones,Original,897K,8.07
Rakudai Kishi no Cavalry,TV,12 eps,23 min ,2015,,"Action,Fantasy,Romance,Ecchi",School,Nexus,Light novel,883K,7.45
Black Bullet,TV,13 eps,24 min ,2014,,"Action,Mystery,Sci-Fi",,Kinema Citrus,Light novel,879K,7.1
High School DxD New,TV,12 eps,26 min ,2013,,"Action,Comedy,Romance,Ecchi",Harem,TNK,Light novel,865K,7.48
Hellsing Ultimate,OVA,10 eps,49 min ,2006,Seinen,"Action,Horror,Supernatural",Adult Cast,Graphinica,Manga,864K,8.36
Baccano!,TV,13 eps,24 min ,2007,,"Action,Comedy,Mystery,Supernatural",Historical,Brain's Base,Light novel,862K,8.37
Youjo Senki,TV,12 eps,24 min ,2017,,"Action,Fantasy",Isekai,Nut,Light novel,838K,7.97
Youjo Senki,TV,12 eps,24 min ,2017,,"Action,Fantasy",Isekai,Nut,Light novel,838K,7.97
The God of High School,TV,13 eps,23 min ,2020,,"Action,Fantasy",Martial Arts,MAPPA,Web manga,827K,7.07
Tensei shitara Slime Datta Ken 2nd Season,TV,12 eps,23 min ,2021,,"Action,Adventure,Comedy,Fantasy",Isekai,8bit,Manga,827K,8.39
Overlord III,TV,13 eps,23 min ,2018,,"Action,Adventure,Fantasy",Isekai,Madhouse,Light novel,823K,7.92
Kekkai Sensen,TV,12 eps,26 min ,2015,Shounen,"Action,Comedy,Fantasy,Supernatural",Super Power,Bones,Manga,820K,7.6
Btooom!,TV,12 eps,24 min ,2012,Seinen,"Action,Sci-Fi",High Stakes Game,Madhouse,Manga,818K,7.3
Boruto: Naruto Next Generations,TV,? eps,23 min ,2017,Shounen,"Action,Adventure,Fantasy",Martial Arts,Pierrot,Manga,803K,5.72
Fate/stay night: Unlimited Blade Works 2nd Season,TV,13 eps,24 min ,2015,,"Action,Fantasy,Supernatural",,ufotable,Visual novel,801K,8.32
Magi: The Kingdom of Magic,TV,25 eps,25 min ,2013,Shounen,"Action,Adventure,Fantasy",,A-1 Pictures,Manga,798K,8.22
Tokyo Ghoul:re 2nd Season,TV,12 eps,24 min ,2018,Seinen,"Action,Fantasy,Horror",Gore,Pierrot,Manga,796K,6.42
Trinity Seven,TV,12 eps,24 min ,2014,Shounen,"Action,Comedy,Fantasy,Romance,Ecchi",Harem,Seven Arcs Pictures,Manga,792K,7.07
Akatsuki no Yona,TV,24 eps,24 min ,2014,Shoujo,"Action,Adventure,Fantasy,Romance",,Pierrot,Manga,792K,8.03
Zero no Tsukaima,TV,13 eps,23 min ,2006,,"Action,Adventure,Comedy,Fantasy,Romance,Ecchi",Harem,J.C.Staff,Light novel,780K,7.24
Banana Fish,TV,24 eps,22 min ,2018,Shoujo,"Action,Adventure,Drama,Suspense",Delinquents,MAPPA,Manga,778K,8.49
Akira,Movie,1 ep,124 min ,1988,Seinen,"Action,Adventure,Horror,Sci-Fi,Supernatural",Gore,Tokyo Movie Shinsha,Manga,775K,8.16
Toaru Majutsu no Index,TV,24 eps,23 min ,2008,,"Action,Sci-Fi",Super Power,J.C.Staff,Light novel,774K,7.36
FLCL,OVA,6 eps,25 min ,2000,,"Action,Avant Garde,Comedy,Sci-Fi",Mecha,Gainax,Original,766K,8.03
Bungou Stray Dogs 2nd Season,TV,12 eps,23 min ,2016,Seinen,"Action,Mystery,Supernatural",Adult Cast,Bones,Manga,764K,8.2
Dragon Ball Super,TV,131 eps,23 min ,2015,Shounen,"Action,Adventure,Comedy,Fantasy",Martial Arts,Toei Animation,Manga,763K,7.42
Koutetsujou no Kabaneri,TV,12 eps,22 min ,2016,,"Action,Drama,Fantasy,Horror",Gore,Wit Studio,Original,762K,7.26
High School DxD BorN,TV,12 eps,24 min ,2015,,"Action,Comedy,Romance,Ecchi",Harem,TNK,Light novel,756K,7.43
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",TV,12 eps,23 min ,2015,,"Action,Adventure,Fantasy",Isekai,A-1 Pictures,Light novel,752K,7.69
InuYasha,TV,167 eps,24 min ,2000,Shounen,"Action,Adventure,Fantasy,Romance",Historical,Sunrise,Manga,746K,7.86
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,TV,12 eps,24 min ,2019,,"Action,Adventure,Fantasy",,J.C.Staff,Light novel,746K,7.23
Owari no Seraph: Nagoya Kessen-hen,TV,12 eps,23 min ,2015,Shounen,"Action,Drama,Supernatural",Military,Wit Studio,Manga,736K,7.62
K,TV,13 eps,24 min ,2012,,"Action,Mystery,Supernatural",Super Power,GoHands,Original,727K,7.44
Ao no Exorcist: Kyoto Fujouou-hen,TV,12 eps,24 min ,2017,Shounen,"Action,Fantasy",Mythology,A-1 Pictures,Manga,711K,7.36
Trigun,TV,26 eps,24 min ,1998,Shounen,"Action,Adventure,Sci-Fi",Adult Cast,Madhouse,Manga,698K,8.21
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",TV,13 eps,23 min ,2020,,"Action,Fantasy",Mythology,SILVER LINK.,Light novel,694K,7.38
Boku no Hero Academia the Movie 1: Futari no Hero,Movie,1 ep,96 min ,2018,Shounen,Action,Super Power,Bones,Manga,690K,7.57
Accel World,TV,24 eps,24 min ,2012,,"Action,Romance,Sci-Fi",School,Sunrise,Light novel,688K,7.23
Sword Art Online: Alicization - War of Underworld,TV,12 eps,23 min ,2019,,"Action,Adventure,Fantasy",Video Game,A-1 Pictures,Light novel,688K,7.58
Hai to Gensou no Grimgar,TV,12 eps,24 min ,2016,,"Action,Adventure,Drama,Fantasy",Isekai,A-1 Pictures,Light novel,685K,7.65
Sword Art Online Movie: Ordinal Scale,Movie,1 ep,119 min ,2017,,"Action,Adventure,Fantasy",Video Game,A-1 Pictures,Original,681K,7.57
Enen no Shouboutai: Ni no Shou,TV,24 eps,24 min ,2020,Shounen,"Action,Supernatural",,David Production,Manga,680K,7.8
Hellsing,TV,13 eps,23 min ,2001,Seinen,"Action,Horror,Supernatural",Adult Cast,Gonzo,Manga,679K,7.49
Nanatsu no Taizai: Seisen no Shirushi,TV,4 eps,24 min ,2016,Shounen,"Action,Adventure,Fantasy",,A-1 Pictures,Manga,674K,6.99
Rokudenashi Majutsu Koushi to Akashic Records,TV,12 eps,24 min ,2017,,"Action,Fantasy",School,LIDENFILMS,Light novel,671K,7.14
Nanatsu no Taizai: Kamigami no Gekirin,TV,24 eps,24 min ,2019,Shounen,"Action,Adventure,Fantasy",,Studio Deen,Manga,670K,6.45
91 Days,TV,12 eps,24 min ,2016,,"Action,Drama",Historical,Shuka,Original,665K,7.83
D.Gray-man,TV,103 eps,23 min ,2006,Shounen,"Action,Adventure,Comedy",Mythology,TMS Entertainment,Manga,662K,8.02
Tate no Yuusha no Nariagari Season 2,TV,13 eps,23 min ,2022,,"Action,Adventure,Drama,Fantasy",Isekai,DR Movie,Light novel,661K,6.56
Blood Lad,TV,10 eps,24 min ,2013,Seinen,"Action,Comedy,Supernatural",Delinquents,Brain's Base,Manga,656K,7.26
Spy x Family Part 2,TV,13 eps,24 min ,2022,Shounen,"Action,Comedy",Childcare,CloverWorks,Manga,645K,8.37
Claymore,TV,26 eps,23 min ,2007,Shounen,"Action,Adventure,Fantasy",Gore,Madhouse,Manga,639K,7.74
Shinmai Maou no Testament,TV,12 eps,23 min ,2015,,"Action,Fantasy,Romance,Ecchi",Harem,Production IMS,Light novel,637K,6.72
Yuu☆Yuu☆Hakusho,TV,112 eps,24 min ,1992,Shounen,"Action,Comedy,Supernatural",Martial Arts,Pierrot,Manga,636K,8.45
Tensei shitara Slime Datta Ken 2nd Season Part 2,TV,12 eps,23 min ,2021,,"Action,Adventure,Comedy,Fantasy",Isekai,8bit,Manga,634K,8.32
86,TV,11 eps,23 min ,2021,,"Action,Drama,Sci-Fi",Mecha,A-1 Pictures,Light novel,632K,8.27
Gakusen Toshi Asterisk,TV,12 eps,23 min ,2015,,"Action,Comedy,Fantasy,Romance,Sci-Fi,Ecchi",Harem,A-1 Pictures,Light novel,626K,6.83
Arifureta Shokugyou de Sekai Saikyou,TV,13 eps,23 min ,2019,,"Action,Adventure,Fantasy",Harem,asread.,Light novel,623K,6.69
Jujutsu Kaisen 0 Movie,Movie,1 ep,104 min ,2021,Shounen,"Action,Fantasy",School,MAPPA,Manga,621K,8.49
Psycho-Pass 2,TV,11 eps,23 min ,2014,,"Action,Sci-Fi,Suspense",Adult Cast,Tatsunoko Production,Original,619K,7.4
Strike the Blood,TV,24 eps,24 min ,2013,,"Action,Fantasy,Supernatural,Ecchi",Harem,Connect,Light novel,613K,7.05
