Titles,Type,Episodes,Episode duration,Year,Demographic,Genres,Theme,Studio,Source,Members,Score
RahXephon: Kansoukyoku/Kanojo to Kanojo Jishin to - Thatness and Thereness,OVA,1 ep,15 min ,2003,,"Drama,Sci-Fi",Psychological,Bones,Original,7.2K,6.28
Mahoutsukai ni Narenakatta Onnanoko no Hanashi.,TV,? eps,0 min , -,,"Drama,Fantasy",School,J.C.Staff,Novel,7.2K,N/A
Urusei Yatsura Movie 4: Lum The Forever,Movie,1 ep,95 min ,1986,Shounen,"Action,Adventure,Comedy,Drama,Romance,Sci-Fi",,Studio Deen,Manga,7.2K,6.73
Yume de Aetara (TV),TV,16 eps,7 min ,1998,Seinen,"Comedy,Drama,Romance,Slice of Life",,J.C.Staff,Manga,7.1K,6.36
Kaze no Shoujo Emily,TV,26 eps,25 min ,2007,Shoujo,Drama,Historical,TMS Entertainment,Novel,7.1K,7.37
Flanders no Inu,TV,52 eps,26 min ,1975,,"Drama,Slice of Life",Historical,Nippon Animation,Novel,7.1K,7.37
White Album 2 Picture Drama,Special,2 eps,6 min ,2014,,"Drama,Ecchi",,Satelight,Visual novel,7.0K,5.92
Konnichiwa Anne: Before Green Gables,TV,39 eps,20 min ,2009,,Drama,Historical,Nippon Animation,Novel,7.0K,7.61
Soukyuu no Fafner: Dead Aggressor - The Beyond,Movie,3 eps,28 min ,2019,,"Action,Drama,Sci-Fi",Mecha,I.Gzwei,Original,7.0K,7.23
Takahashi Rumiko Gekijou,TV,13 eps,24 min ,2003,Seinen,"Comedy,Drama,Romance,Slice of Life,Supernatural",,TMS Entertainment,Manga,7.0K,7.12
Ningyo no Mori,OVA,1 ep,55 min ,1991,Shounen,"Drama,Fantasy,Horror,Mystery",,Pastel,Manga,7.0K,6.73
Jikuu Tenshou Nazca,TV,12 eps,24 min ,1998,,"Action,Adventure,Drama,Fantasy",Reincarnation,Radix,Original,6.9K,5.57
Maison Ikkoku: Kanketsu-hen,Movie,1 ep,66 min ,1988,Seinen,"Comedy,Drama,Romance",Adult Cast,Ajia-Do,Manga,6.9K,7.15
Kizuna: Koi no kara Sawagi,OVA,1 ep,43 min ,2001,,"Boys Love,Drama,Romance,Erotica",,Zexcs,Manga,6.9K,6.62
Jungle Book Shounen Mowgli,TV,52 eps,25 min ,1989,,"Adventure,Drama",,Nippon Animation,Book,6.8K,6.98
Aguu: Tensai Ningyou,TV,12 eps,23 min ,2018,,"Action,Drama,Supernatural",,Studio Deen,Web manga,6.8K,5.42
To Heart 2 OVA,OVA,3 eps,28 min ,2007,,"Comedy,Drama,Romance",Harem,Chaos Project,Visual novel,6.8K,6.85
Lie Huo Jiao Chou,ONA,12 eps,20 min ,2021,,"Action,Drama,Supernatural",,Shenying Animation,Novel,6.7K,7.1
Air Recap,Special,1 ep,22 min ,2005,,"Drama,Romance,Supernatural",,Kyoto Animation,Visual novel,6.7K,6.23
Koukai Benjo The Animation,OVA,2 eps,26 min ,2013,,"Drama,Hentai",Psychological,Office Takeout,Manga,6.7K,6.08
Dwaeji-ui Wang,Movie,1 ep,96 min ,2011,,"Drama,Suspense",Psychological,Unknown,,6.7K,6.63
Waga Seishun no Arcadia: Mugen Kidou SSX,TV,22 eps,25 min ,1982,,"Action,Adventure,Drama,Sci-Fi",Space,Toei Animation,,6.6K,7.39
Good Morning Call,OVA,1 ep,19 min ,2001,Shoujo,"Comedy,Drama,Romance",School,Production I.G,Manga,6.6K,6.06
Kidou Senshi Gundam: Senkou no Hathaway 2,Movie,1 ep,0 min , -,,"Action,Drama,Sci-Fi",Mecha,Sunrise,Novel,6.6K,N/A
Kanojo ga Mimai ni Konai Wake,OVA,3 eps,27 min ,2010,,"Drama,Hentai",,T-Rex,Visual novel,6.6K,6.27
Kamui no Ken,Movie,1 ep,132 min ,1985,Shounen,"Adventure,Drama,Fantasy",Historical,Madhouse,Novel,6.5K,6.63
Kidou Senshi Gundam 0083: Stardust Memory - Uchuu no Kagerou,Special,1 ep,3 min ,1992,,"Action,Drama,Sci-Fi",Mecha,Sunrise,Radio,6.5K,5.96
Yume ga Sameru made,ONA,1 ep,1 min ,2017,,Drama,,Flat Studio,Original,6.5K,6.92
Arion,Movie,1 ep,119 min ,1986,Seinen,"Action,Adventure,Drama,Fantasy",Mythology,Sunrise,Manga,6.5K,6.13
Chuan Shu Zijiu Zhinan: Xian Meng Pian,ONA,? eps,0 min , -,,"Drama,Supernatural",Historical,Unknown,Web novel,6.4K,N/A
Blue Seed 2,OVA,3 eps,28 min ,1996,,"Action,Comedy,Drama,Horror,Mystery,Sci-Fi,Supernatural,Ecchi",,Production I.G,,6.4K,6.41
Oseam,Movie,1 ep,77 min ,2003,,"Adventure,Drama",,Unknown,Novel,6.4K,7.05
Aquarion Movie: Ippatsu Gyakuten-hen,Movie,1 ep,116 min ,2007,,"Drama,Fantasy",Mecha,Satelight,,6.4K,6.71
Kokoro Toshokan,TV,13 eps,24 min ,2001,,"Comedy,Drama,Slice of Life",Iyashikei,Studio Deen,Manga,6.4K,6.52
Memories Off,OVA,3 eps,30 min ,2001,,"Drama,Romance",,E&G Films,Visual novel,6.4K,5.81
Sukeban Deka,OVA,2 eps,47 min ,1991,Shoujo,"Action,Drama",Delinquents,SIDO LIMITED,Manga,6.4K,6.42
Hamelin no Violin Hiki,TV,25 eps,24 min ,1996,,"Adventure,Drama,Fantasy",,Studio Deen,Manga,6.3K,6.54
D.C. I&II P.S.P. Re-Animated,OVA,1 ep,22 min ,2010,,"Drama,Romance",Harem,Zexcs,Visual novel,6.3K,6.64
Lady Lady!!,TV,21 eps,23 min ,1987,Shoujo,Drama,Historical,Toei Animation,Manga,6.3K,7.49
Kabukichou Sherlock OVA,OVA,6 eps,4 min ,2020,,"Comedy,Drama,Mystery",,Production I.G,Original,6.2K,6.72
Junkers Come Here,Movie,1 ep,99 min ,1995,,"Award Winning,Drama",,Triangle Staff,Novel,6.2K,7.1
Cardfight!! Vanguard: overDress Season 2,TV,13 eps,24 min ,2021,,"Action,Drama",Strategy Game,GIFTanimation,Original,6.2K,6.67
Wakakusa Monogatari: Nan to Jo-sensei,TV,40 eps,25 min ,1993,,"Drama,Slice of Life",Historical,Nippon Animation,,6.2K,7.56
Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,TV,50 eps,24 min ,1981,,"Adventure,Drama,Slice of Life",Historical,Nippon Animation,Novel,6.2K,7.3
Sakura Nagashi,Music,1 ep,4 min ,2016,,"Action,Drama,Sci-Fi",Mecha,Khara,Original,6.2K,6.98
Mama wa Shougaku 4 Nensei,TV,51 eps,24 min ,1992,,"Comedy,Drama,Sci-Fi",Childcare,Sunrise,Original,6.2K,7.38
Juusenki L-Gaim,TV,54 eps,24 min ,1984,,"Action,Adventure,Drama,Sci-Fi",Mecha,Sunrise,Original,6.1K,6.77
Tibet Inu Monogatari,Movie,1 ep,90 min ,2011,,"Adventure,Drama,Fantasy",Mythology,Madhouse,Novel,6.1K,7.24
Kodomo no Omocha,OVA,1 ep,30 min ,1995,Shoujo,"Comedy,Drama",Love Polygon,J.C.Staff,Manga,6.1K,7.13
"Persona 3 the Movie Meets ""Walkman""",ONA,1 ep,0 min ,2016,,Drama,,A-1 Pictures,Game,6.1K,6.2
Warau Salesman,TV,103 eps,10 min ,1989,Seinen,"Comedy,Drama,Supernatural",Adult Cast,Shin-Ei Animation,Manga,6.1K,6.77
Under Ninja,TV,? eps,0 min ,2023,Seinen,"Action,Comedy,Drama",,Unknown,Manga,6.1K,N/A
Green Legend Ran,OVA,3 eps,47 min ,1992,,"Adventure,Drama,Sci-Fi",,AIC,Original,6.1K,6.58
Mai-Otome Specials,Special,9 eps,3 min ,2006,,"Comedy,Drama,Fantasy",,Sunrise,Original,6.1K,6.94
Herlock Saga: Nibelung no Yubiwa,OVA,6 eps,25 min ,1999,Seinen,"Action,Adventure,Drama,Sci-Fi",Space,Studio March,Manga,6.1K,6.67
Hotori: Tada Saiwai wo Koinegau,Special,1 ep,40 min ,2005,,"Drama,Sci-Fi",,Sunrise,,6.0K,6.86
Guskou Budori no Denki (2012),Movie,1 ep,106 min ,2012,Kids,"Award Winning,Drama,Fantasy,Slice of Life",Anthropomorphic,Tezuka Productions,Novel,6.0K,6.27
Angelique,OVA,3 eps,30 min ,2004,Shoujo,"Drama,Fantasy,Romance,Sci-Fi",Reverse Harem,Yumeta Company,Game,6.0K,6.3
Tiger Mask Nisei,TV,33 eps,24 min ,1981,,"Action,Drama,Sports",Combat Sports,Toei Animation,Manga,6.0K,7.31
Detective Conan: The Scarlet Alibi,Movie,1 ep,94 min ,2021,Shounen,"Action,Comedy,Drama,Mystery",Detective,TMS Entertainment,Manga,6.0K,7.32
Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,TV,13 eps,25 min ,2004,,"Comedy,Drama,Romance",Harem,Arms,Visual novel,6.0K,5.79
Kurogane Communication,TV,24 eps,15 min ,1998,,"Action,Adventure,Drama,Sci-Fi",,APPP,Manga,5.9K,6.73
Tian Mei De Yao Hen,ONA,12 eps,10 min ,2022,,"Drama,Romance,Supernatural",Vampire,Unknown,Manga,5.9K,6.57
Himiko-den,TV,12 eps,23 min ,1999,,"Adventure,Drama,Fantasy,Supernatural",,Group TAC,Game,5.9K,6.2
Animation Seisaku Shinkou Kuromi-chan 2,OVA,1 ep,45 min ,2004,,"Comedy,Drama",Otaku Culture,Yumeta Company,Original,5.8K,6.92
Natsu e no Tobira,Movie,1 ep,59 min ,1981,Shoujo,"Boys Love,Drama,Romance",,Madhouse,Manga,5.8K,5.9
Choujin Densetsu Urotsukidouji Movie,Movie,1 ep,106 min ,1989,,"Action,Drama,Hentai",Mythology,Phoenix Entertainment,Manga,5.8K,6.1
Uchuu Senkan Yamato III,TV,25 eps,24 min ,1980,,"Action,Adventure,Drama,Sci-Fi",Adult Cast,Academy Productions,Original,5.8K,7.04
Kakyuusei (TV),TV,13 eps,26 min ,1999,,"Drama,Romance",Harem,PP Project,Visual novel,5.8K,6.2
Uta∽Kata: Shotou no Futanatsu,Special,1 ep,24 min ,2005,,Drama,,Hal Film Maker,Original,5.8K,6.88
Guomin Laogong Dai Huijia 2nd season,ONA,12 eps,11 min ,2017,,"Drama,Romance",School,B.CMAY PICTURES,Novel,5.8K,6.37
Shadow Skill,OVA,1 ep,51 min ,1995,Shounen,"Adventure,Drama,Fantasy",Martial Arts,Zero-G Room,Manga,5.8K,6.52
Haikara-san ga Tooru,TV,42 eps,24 min ,1978,Shoujo,"Drama,Romance,Slice of Life",Historical,Nippon Animation,Manga,5.8K,7.15
Harukanaru Toki no Naka de: Maihitoyo,Movie,1 ep,100 min ,2006,Shoujo,"Drama,Fantasy,Romance,Supernatural",Historical,Yumeta Company,Visual novel,5.8K,7.15
Chiisana Ahiru no Ooki na Ai no Monogatari: Ahiru no Kwak,TV,52 eps,23 min ,1989,Kids,"Adventure,Comedy,Drama,Fantasy",,Telescreen,Other,5.7K,7.36
Meng Qi Shi Shen: Zaijie Liangyuan,ONA,12 eps,20 min ,2021,,"Adventure,Comedy,Drama,Gourmet,Romance",Historical,Wawayu Animation,Novel,5.7K,7.27
Wu Liuqi: Anying Suming,ONA,10 eps,15 min ,2023,,"Action,Adventure,Comedy,Drama,Mystery",Martial Arts,AHA Entertainment,Original,5.7K,N/A
Genma Taisen,Movie,1 ep,131 min ,1983,Shounen,"Action,Adventure,Comedy,Drama,Sci-Fi",Mecha,Madhouse,Manga,5.7K,5.16
Kaze wo Mita Shounen,Movie,1 ep,97 min ,2000,,"Adventure,Drama,Fantasy",,Brain's Base,Book,5.7K,6.67
Project Zeorymer,OVA,4 eps,28 min ,1988,,"Action,Drama,Sci-Fi",Mecha,AIC,Manga,5.7K,6.11
Mignon,ONA,12 eps,5 min , -,,"Boys Love,Drama,Romance",Vampire,Unknown,Original,5.6K,N/A
Perrine Monogatari,TV,53 eps,25 min ,1978,,"Drama,Slice of Life",Historical,Nippon Animation,Novel,5.6K,7.53
Ashita no Joe (Movie),Movie,1 ep,153 min ,1980,Shounen,"Action,Drama,Sports",Combat Sports,Mushi Production,,5.6K,7.08
Suika,OVA,3 eps,27 min ,2003,,"Drama,Fantasy,Romance,Hentai",,APPP,Visual novel,5.5K,6.43
Wata no Kuni Hoshi,Movie,1 ep,96 min ,1984,Shoujo,"Drama,Fantasy,Romance",Pets,Mushi Production,Manga,5.5K,6.84
Anime Himitsu no Hanazono,TV,39 eps,25 min ,1991,Kids,Drama,Historical,Gakken,Book,5.5K,7.08
Shadow Skill (1996),OVA,3 eps,30 min ,1996,Shounen,"Adventure,Drama,Fantasy",Martial Arts,Zero-G Room,Manga,5.5K,6.56
Shouwa Monogatari,TV,13 eps,25 min ,2011,,Drama,Historical,WAO World,Original,5.5K,6.86
"Tamayura: More Aggressive - Tsuitachi dake no Shuugakuryokou, Nanode",Special,1 ep,24 min ,2014,,"Comedy,Drama,Slice of Life",CGDCT,TYO Animations,Original,5.5K,7.44
Chance Triangle Session,TV,13 eps,24 min ,2001,,"Drama,Slice of Life",Idols (Female),Madhouse,Radio,5.5K,6.45
TO,OVA,2 eps,43 min ,2009,Seinen,"Action,Drama,Sci-Fi",Space,Unknown,Manga,5.5K,6.34
Digimon Adventure: 20 Shuunen Memorial Story,ONA,5 eps,6 min ,2020,,"Adventure,Drama",,Toei Animation,Original,5.5K,6.75
Weiß Kreuz OVA,OVA,2 eps,30 min ,1999,,"Action,Drama",,animate Film,,5.5K,6.84
Toushou Daimos,TV,44 eps,24 min ,1978,,"Adventure,Drama,Romance,Sci-Fi",Mecha,Sunrise,,5.5K,7.21
Kyoushirou to Towa no Sora Specials,Special,6 eps,5 min ,2007,Shounen,"Drama,Romance",,TNK,Manga,5.5K,6.48
Magical Canan,TV,13 eps,24 min ,2005,,"Drama,Fantasy,Supernatural",,AIC ASTA,Visual novel,5.5K,6.16
Uchuu Senkan Yamato 2205: Aratanaru Tabidachi,OVA,8 eps,24 min ,2021,,"Action,Drama,Sci-Fi",Adult Cast,Satelight,Original,5.5K,7.41
Keroro Gunsou Movie 2: Shinkai no Princess de Arimasu!,Movie,1 ep,78 min ,2007,Shounen,"Action,Adventure,Comedy,Drama,Sci-Fi",,Sunrise,,5.5K,7.26
Tsuki no Sango,Movie,1 ep,3 min ,2010,,Drama,,ufotable,Other,5.4K,6.17
Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki,Special,4 eps,23 min ,2003,Shounen,Drama,Medical,Tezuka Productions,Manga,5.4K,7.22
Eikoku Koi Monogatari Emma: Intermission,Special,1 ep,24 min ,2007,Seinen,"Drama,Romance",Historical,Unknown,Manga,5.4K,7.01
Sengoku☆Paradise Kiwami,TV,26 eps,3 min ,2011,Shoujo,"Action,Comedy,Drama,Romance",Historical,LMD,,5.4K,5.99
Gibo,OVA,2 eps,29 min ,2001,,"Drama,Romance,Hentai",,Y.O.U.C,Visual novel,5.4K,5.88
Kimitachi wa Dou Ikiru ka,Movie,1 ep,0 min ,2023,,Drama,,Studio Ghibli,Original,5.4K,N/A
Kiteretsu Daihyakka,TV,331 eps,25 min ,1988,Kids,"Comedy,Drama,Slice of Life",,Gallop,Manga,5.4K,6.79
Keitai Shoujo,ONA,6 eps,7 min ,2007,,"Comedy,Drama,Romance",School,Studio Hibari,Visual novel,5.3K,5.24
Uchuu Kaizoku Captain Herlock: Arcadia-gou no Nazo,Movie,1 ep,35 min ,1978,,"Action,Adventure,Drama,Sci-Fi",Space,Toei Animation,Manga,5.3K,6.92
Deimos no Hanayome: Ran no Kumikyoku,OVA,1 ep,32 min ,1988,Shoujo,"Drama,Fantasy,Horror,Mystery,Supernatural",Mythology,Madhouse,Manga,5.3K,5.65
Touken Ranbu: Hanamaru - Makuai Kaisouroku,Movie,1 ep,85 min ,2017,,"Action,Comedy,Drama,Fantasy,Slice of Life",Historical,Doga Kobo,Game,5.3K,6.46
Yume de Aetara,OVA,3 eps,27 min ,1998,Seinen,"Comedy,Drama,Romance,Ecchi",,J.C.Staff,Manga,5.3K,6.35
Dual! Parallel Runrun Monogatari Special,Special,1 ep,29 min ,1999,,"Comedy,Drama,Romance,Sci-Fi",Harem,AIC,Original,5.3K,6.87
Ai Shoujo Pollyanna Story,TV,51 eps,25 min ,1986,,"Drama,Slice of Life",Historical,Nippon Animation,Novel,5.3K,6.96
Alps no Shoujo Heidi (1979),Movie,1 ep,107 min ,1979,,Drama,Historical,Nippon Animation,,5.3K,6.93
"Kokoro ga Sakebitagatterunda. x Sony Hi-Res ""Walkman"" and Headphone",Special,1 ep,0 min ,2016,,Drama,,A-1 Pictures,Original,5.3K,5.69
Strange Dawn,TV,13 eps,23 min ,2000,,"Adventure,Drama,Fantasy",Isekai,Hal Film Maker,Original,5.3K,6.32
Koutetsu Tenshi Kurumi Zero,OVA,3 eps,15 min ,2001,,"Drama,Romance,Sci-Fi",,OLM,Original,5.3K,6.07
Soratobu Yuureisen,Movie,1 ep,60 min ,1969,,"Adventure,Drama,Sci-Fi",Mecha,Toei Animation,Manga,5.2K,6.59
Hakuouki OVA (2021),OVA,3 eps,27 min ,2021,Josei,"Action,Drama,Supernatural",Historical,Studio Deen,Visual novel,5.2K,7.03
Sirius no Densetsu,Movie,1 ep,107 min ,1981,,"Drama,Fantasy,Romance",,Sanrio,Book,5.2K,6.69
Sheng Shi Zhuang Niang,ONA,20 eps,20 min ,2018,Shoujo,"Drama,Romance",Historical,Imagineer,Novel,5.2K,6.7
Maison Ikkoku: Bangai-hen - Ikkokujima Nanpa Shimatsuki,OVA,1 ep,23 min ,1991,Seinen,"Comedy,Drama,Romance",Adult Cast,Magic Bus,Manga,5.2K,6.87
X²: Double X,Music,1 ep,2 min ,1993,Shoujo,Drama,Music,Madhouse,Manga,5.2K,6.47
Hana no Ko Lunlun,TV,50 eps,24 min ,1979,Shoujo,"Adventure,Drama",,Toei Animation,Original,5.2K,6.95
Seraphim Call,TV,12 eps,23 min ,1999,,"Drama,Romance,Sci-Fi",,Sunrise,Original,5.2K,6.39
Shin Taketori Monogatari: 1000-nen Joou,TV,42 eps,24 min ,1981,,"Drama,Mystery,Sci-Fi",,Toei Animation,Manga,5.2K,7.17
Bokura no Yoake,Movie,1 ep,120 min ,2022,Seinen,"Drama,Sci-Fi",,Zero-G,Manga,5.2K,N/A
D.C.III: Da Capo III Special,Special,1 ep,23 min ,2012,,"Drama,Romance",Music,Kazami Gakuen Koushiki Douga-bu,,5.2K,6.31
Taiyou no Kiba Dagram,TV,75 eps,23 min ,1981,,"Action,Drama,Sci-Fi",Mecha,Sunrise,Original,5.1K,7.43
Kidou Senshi Gundam: Senkou no Hathaway 3,Movie,1 ep,0 min , -,,"Action,Drama,Sci-Fi",Mecha,Sunrise,Novel,5.1K,N/A
Ys: Tenkuu no Shinden - Adol Christine no Bouken,OVA,4 eps,30 min ,1992,,"Adventure,Drama,Fantasy",Mythology,Tokyo Kids,Game,5.1K,6.6
Uchuu Senkan Yamato (Movie),Movie,1 ep,135 min ,1977,,"Drama,Sci-Fi",Adult Cast,Academy Productions,Original,5.0K,6.68
Mahou Shoujo Site Recaps,Special,2 eps,16 min ,2018,,"Drama,Horror,Supernatural",Gore,production doA,Manga,5.0K,6.25
Fuyu no Semi Special,OVA,1 ep,96 min ,2008,,"Action,Boys Love,Drama,Erotica",Historical,Venet,Manga,5.0K,6.88
Top wo Nerae 3!,OVA,? eps,0 min , -,,"Action,Comedy,Drama,Sci-Fi",Mecha,Gaina,Original,5.0K,N/A
Tetsujin 28-gou (2004),TV,26 eps,25 min ,2004,Shounen,"Adventure,Drama,Sci-Fi",Historical,Palm Studio,,5.0K,7.3
Mudai,Music,1 ep,7 min ,2015,,"Drama,Romance,Slice of Life",Music,Unknown,Original,5.0K,7.11
Kidou Senshi Gundam AGE: Memory of Eden,OVA,2 eps,75 min ,2013,,"Action,Drama,Sci-Fi",Mecha,Sunrise,,5.0K,6.62
Mo Du Zhe,ONA,? eps,0 min , -,,"Drama,Mystery",,Unknown,Novel,4.9K,N/A
Miracle☆Girls,TV,51 eps,24 min ,1993,Shoujo,Drama,,Japan Taps,Manga,4.9K,7.28
Sakura Internet,ONA,1 ep,3 min ,2017,,Drama,,White Fox,Original,4.9K,5.59
Huyao Xiao Hongniang: Zhu Ye,ONA,12 eps,18 min ,2019,,"Comedy,Drama,Romance,Supernatural",Historical,Garden Culture,Manga,4.9K,7.36
Anime Sanjuushi,TV,52 eps,25 min ,1987,,"Adventure,Drama,Romance",Historical,Gallop,Novel,4.8K,7.1
Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen,Movie,1 ep,95 min ,2002,Seinen,"Award Winning,Drama,Romance",Historical,Shin-Ei Animation,Manga,4.8K,7.41
Carole & Tuesday: Gus to Roddy no Kaisouroku,Special,1 ep,22 min ,2019,,"Drama,Romance,Sci-Fi",Music,Bones,Original,4.8K,6.54
Moonlight Mile 2nd Season: Touch Down,TV,14 eps,25 min ,2007,,"Adventure,Drama,Sci-Fi",Space,Studio Hibari,Manga,4.8K,7.28
"Urusei Yatsura: Haru da, Tobidase!",Special,1 ep,44 min ,1982,Shounen,"Action,Adventure,Comedy,Drama,Romance,Sci-Fi",,Pierrot,Manga,4.8K,6.63
Ashita no Joe Pilots,Special,2 eps,10 min ,1969,Shounen,"Drama,Sports",Combat Sports,Mushi Production,,4.8K,6.17
"""Eiyuu"" Kaitai",OVA,1 ep,27 min ,2016,,"Comedy,Drama",Isekai,Zexcs,Light novel,4.8K,5.91
Black Jack: Futari no Kuroi Isha,Movie,1 ep,97 min ,2005,Shounen,Drama,Medical,Tezuka Productions,Manga,4.8K,7.15
Turn A Gundam I Movie: Earth Light,Movie,1 ep,128 min ,2002,,"Action,Drama,Sci-Fi",Mecha,Sunrise,Original,4.8K,6.49
Vatican Kiseki Chousakan: Majo no Soup,OVA,1 ep,23 min ,2018,,"Drama,Mystery,Supernatural",,J.C.Staff,Novel,4.7K,6.43
Sanctuary,OVA,1 ep,67 min ,1996,Seinen,"Action,Drama,Suspense",Detective,Pastel,Manga,4.7K,6.34
Airy Me,Movie,1 ep,5 min ,2013,,"Avant Garde,Award Winning,Drama,Horror",Music,Unknown,Music,4.7K,6.3
Ling Long: Incarnation,ONA,6 eps,30 min ,2019,,"Action,Drama,Horror,Sci-Fi,Suspense",Mythology,YHKT Entertainment,Original,4.7K,7.24
Shiranpuri (Movie),Special,1 ep,24 min ,2012,,Drama,School,Shirogumi,Original,4.7K,6.26
Ashita no Joe 2 (Movie),Movie,1 ep,112 min ,1981,Shounen,"Drama,Sports",Combat Sports,Tokyo Movie Shinsha,Manga,4.7K,7.26
Guomin Laogong Dai Huijia 3rd Season,ONA,12 eps,12 min ,2017,,"Drama,Romance",,Wawayu Animation,Novel,4.7K,6.05
Bihada Ichizoku,TV,12 eps,8 min ,2008,Shoujo,Drama,Parody,Unknown,Original,4.7K,5.74
Ai Monogatari: 9 Love Stories,OVA,1 ep,92 min ,1993,,"Drama,Romance",,Studio Deen,,4.7K,6.56
Zutto Suki Datta,OVA,2 eps,20 min ,2017,,"Drama,Hentai",School,Queen Bee,Manga,4.7K,5.62
Muteki Choujin Zanbot 3,TV,23 eps,24 min ,1977,Shounen,"Action,Drama,Sci-Fi",Mecha,Sunrise,Original,4.7K,7.11
Gunparade Orchestra,TV,24 eps,25 min ,2005,,"Drama,Romance,Sci-Fi",Mecha,Brain's Base,Game,4.6K,5.85
Mizuiro Jidai,TV,47 eps,25 min ,1996,Shoujo,"Drama,Romance,Slice of Life",School,Studio Comet,Manga,4.6K,7.15
Ryokunohara Meikyuu,OVA,1 ep,40 min ,1990,Shoujo,"Avant Garde,Boys Love,Drama,Romance",Psychological,AIC,Manga,4.6K,4.96
Wushen Zhuzai,ONA,384 eps,8 min ,2020,,"Action,Drama,Fantasy",Historical,Ruo Hong Culture,Novel,4.6K,7.32
Eien no Aselia,OVA,2 eps,29 min ,2005,,"Adventure,Drama,Fantasy",,Studio Matrix,Visual novel,4.5K,5.36
Turn A Gundam II Movie: Moonlight Butterfly,Movie,1 ep,128 min ,2002,,"Action,Drama,Sci-Fi",Mecha,Sunrise,Original,4.5K,6.62
Jungle Taitei (1989),TV,52 eps,30 min ,1989,,"Adventure,Drama",,Tezuka Productions,Manga,4.5K,6.75
Lime-iro Ryuukitan X,TV,13 eps,25 min ,2005,,"Drama,Supernatural,Ecchi",Harem,A.C.G.T.,Visual novel,4.5K,5.66
The King of Fighters: Destiny,ONA,24 eps,16 min ,2017,,"Action,Adventure,Drama,Romance",Martial Arts,iDRAGONS Creative Studio,Game,4.5K,6.53
"Momoko, Kaeru no Uta ga Kikoeru yo.",Movie,1 ep,79 min ,2003,,"Drama,Slice of Life",School,Magic Bus,Book,4.5K,7.49
Mitsuami no Kamisama,Movie,1 ep,28 min ,2015,Seinen,"Drama,Slice of Life",,Production I.G,Manga,4.5K,6.77
Kono Yo no Hate de Koi wo Utau Shoujo YU-NO Recap,Special,1 ep,23 min ,2019,,"Drama,Sci-Fi",,feel.,Visual novel,4.5K,6.3
Ginga Tetsudou 999: Eternal Fantasy,Movie,1 ep,54 min ,1998,,"Action,Drama,Sci-Fi",Space,Toei Animation,Manga,4.5K,6.55
1000-nen Joou: Queen Millennia,Movie,1 ep,121 min ,1982,,"Adventure,Drama,Fantasy,Sci-Fi",,Toei Animation,Manga,4.5K,6.77
Kidou Senshi Gundam Unicorn: Episode EX - Hyakunen no Kodoku,Special,1 ep,25 min ,2014,,Drama,Mecha,Sunrise,,4.5K,6.66
Saibi,Movie,1 ep,100 min ,2013,,"Drama,Suspense",Psychological,Unknown,Original,4.4K,6.59
Anemone,OVA,1 ep,5 min ,2011,,"Drama,Supernatural",,Unknown,Original,4.4K,6.42
Uchuu Koukyoushi Maetel: Ginga Tetsudou 999 Gaiden,TV,13 eps,25 min ,2004,,"Drama,Sci-Fi",Space,Azeta Pictures,,4.4K,6.68
Mamahaha,OVA,2 eps,28 min ,2005,,"Drama,Romance,Hentai",,Y.O.U.C,Original,4.4K,5.62
Shin Ringetsu,OVA,2 eps,27 min ,2008,,"Drama,Supernatural,Hentai",,Kami Kukan,Visual novel,4.4K,6.44
Penguin's Memory: Shiawase Monogatari,Movie,1 ep,102 min ,1985,,Drama,Anthropomorphic,Animation Staff Room,Other,4.3K,7.04
Fuyu no Sonata: Joshou - Hatsuyuki no Negai,Special,1 ep,25 min ,2009,,"Drama,Romance",,KeyEast,Other,4.3K,6.48
Eightman After,OVA,4 eps,28 min ,1993,,"Action,Drama,Sci-Fi",,J.C.Staff,Manga,4.3K,6.18
Aru Machi Kado no Monogatari,Movie,1 ep,39 min ,1962,,"Award Winning,Drama,Romance",Music,Mushi Production,Original,4.3K,6.57
Tenshi Nanka ja Nai,OVA,1 ep,30 min ,1994,Shoujo,"Comedy,Drama",,Group TAC,Manga,4.3K,6.15
Densetsu Kyojin Ideon: Sesshoku-hen,Movie,1 ep,85 min ,1982,,"Drama,Sci-Fi",Mecha,Sunrise,Original,4.2K,6.01
Kimagure Orange☆Road: Shounen Jump Special,OVA,1 ep,24 min ,1985,Shounen,"Drama,Romance",,Pierrot,Manga,4.2K,6.53
Maetel Legend,OVA,2 eps,45 min ,2000,,"Drama,Sci-Fi",Space,Vega Entertainment,,4.2K,6.4
Nurse Angel Ririka SOS,TV,35 eps,24 min ,1995,Shoujo,"Drama,Fantasy",,Gallop,Manga,4.2K,7.18
Yuki no Joou (TV),TV,36 eps,25 min ,2005,Shoujo,"Adventure,Drama,Fantasy",,TMS Entertainment,Book,4.2K,6.95
Shoukoushi Cedie,TV,43 eps,24 min ,1988,,"Drama,Slice of Life",Historical,Nippon Animation,Novel,4.2K,7.32
